purpose_code	count	sample_purpose
02.01	149865	02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)
Код не виокремлено	95197	присадибна дiлянка
01.03	48123	01.03 Для ведення особистого селянського господарства
01.06	35840	01.06 Для колективного садівництва
01.05	31326	01.05 Для індивідуального садівництва
01.01	9679	01.01 Для ведення товарного сільськогосподарського виробництва
12.04	9137	12.04 Для розміщення та експлуатації будівель і споруд автомобільного транспорту та дорожнього господарства
—	7170	
02.03	7153	02.03 Для будівництва і обслуговування багатоквартирного житлового будинку
12.13	5720	12.13 Земельні ділянки загального користування, які використовуються як вулиці, майдани, проїзди, дороги, набережні
02.05	5609	02.05 Для будівництва індивідуальних гаражів
11.02	4577	11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості
03.07	4143	03.07 Для будівництва та обслуговування будівель торгівлі
01.04	3880	Для ведення підсобного сільського господарства
18.00	3658	18.00 Землі загального користування (землі будь-якої категорії, які використовуються як майдани, вулиці, проїзди, шляхи, громадські пасовища, сіножаті, набережні, пляжі, парки, зелені зони, сквери, бульвари, водні об'єкти загального користування, а також інші землі, якщо рішенням відповідного органу державної влади чи місцевого самоврядування їх віднесено до земель загального користування)
02.06	3409	02.06 Для колективного гаражного будівництва
02.10	3211	02.10 Для будівництва і обслуговування багатоквартирного житлового будинку з об’єктами торгово-розважальної та ринкової інфраструктури
03.10	3003	03.10 Для будівництва та обслуговування адміністративних будинків, офісних будівель компаній, які займаються підприємницькою діяльністю, пов’язаною з отриманням прибутку
02.07	2178	02.07 Для іншої житлової забудови
03.02	2140	03.02 Для будівництва та обслуговування будівель закладів освіти
02.12	1736	02.12 Земельні ділянки загального користування, які використовуються як внутрішньоквартальні проїзди, пішохідні зони
09.01	1735	09.01 Для ведення лісового господарства і пов'язаних з ним послуг
11.04	1689	11.04 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд технічної інфраструктури (виробництва та розподілення газу, постачання пари та гарячої води, збирання, очищення та розподілення води)
03.15	1325	03.15 Для будівництва та обслуговування інших будівель громадської забудови
07.03	1241	07.03 Для індивідуального дачного будівництва
07.01	1182	07.01 Для будівництва та обслуговування об'єктів рекреаційного призначення
12.01	792	12.01 Для розміщення та експлуатації будівель і споруд залізничного транспорту
10.08	737	10.08 Для культурно-оздоровчих потреб, рекреаційних, спортивних і туристичних цілей
12.07	650	12.07 Для розміщення та експлуатації будівель і споруд міського електротранспорту
32208	622	куплено 1/2 ділянки кад.номер 3220882600:04:002:0367 у мокляк юрія петровича від 15 жовтня 2010 року
09.03	612	09.03 Для цілей підрозділів 09.01-09.02, 09.04-09.05 та для збереження та використання земель природно-заповідного фонду
11.03	611	11.03 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд будівельних організацій та підприємств
01.02	608	01.02 Для ведення фермерського господарства
12.11	595	12.11 Для розміщення та експлуатації об'єктів дорожнього сервісу
03.08	582	03.08 Для будівництва та обслуговування об'єктів туристичної інфраструктури та закладів громадського харчування
01.08	568	01.08 Для сінокосіння і випасання худоби
01.13	562	A.01.13
12.08	546	12.08 Для розміщення та експлуатації будівель і споруд додаткових транспортних послуг та допоміжних операцій
03.03	484	03.03 Для будівництва та обслуговування будівель закладів охорони здоров'я та соціальної допомоги
07.08	469	07.08 Земельні ділянки загального користування, які використовуються як зелені насадження загального користування
03.01	396	03.01 Для будівництва та обслуговування будівель органів державної влади та органів місцевого самоврядування
10.01	387	10.01 Для експлуатації та догляду за водними об'єктами
03.12	352	03.12 Для будівництва та обслуговування будівель закладів комунального обслуговування
02.04	352	02.04 Для будівництва і обслуговування будівель тимчасового проживання
03.04	344	03.04 Для будівництва та обслуговування будівель громадських та релігійних організацій
07.02	277	07.02 Для будівництва та обслуговування об'єктів фізичної культури і спорту
02.09	249	02.09 Для будівництва і обслуговування паркінгів та автостоянок на землях житлової та громадської забудови
10.06	244	10.06 Для сінокосіння
03.20	235	03.20 Земельні ділянки загального користування, які використовуються як внутрішньоквартальні проїзди, пішохідні зони
10.12	225	10.12 Для цілей підрозділів 10.01-10.11, 10.13-10.16 та для збереження та використання земель природно-заповідного фонду
07.04	224	07.04 Для колективного дачного будівництва
03.11	223	03.11 Для будівництва та обслуговування будівель і споруд закладів науки
02.02	214	02.02 Для колективного житлового будівництва
03.14	202	03.14 Для розміщення та постійної діяльності органів МНС
11.07	162	11.07 Земельні ділянки загального користування, які використовуються як зелені насадження спеціального призначення
03.05	150	03.05 Для будівництва та обслуговування будівель закладів культурно-просвітницького обслуговування
13.01	132	13.01 Для розміщення та експлуатації об'єктів і споруд телекомунікацій
10.02	127	10.02 Для облаштування та догляду за прибережними захисними смугами
04.08	126	04.08 Для збереження та використання заказників
08.01	124	08.01 Для забезпечення охорони об'єктів культурної спадщини
04.07	116	04.07 Для збереження та використання парків-пам'яток садово-паркового мистецтва
10.04	114	10.04 Для експлуатації та догляду за гідротехнічними, іншими водогосподарськими спорудами і каналами
02.08	102	B.02.08
12.05	94	12.05 Для розміщення та експлуатації будівель і споруд авіаційного транспорту
04.03	92	04.03 Для збереження та використання національних природних парків
03.13	87	03.13 Для будівництва та обслуговування будівель закладів побутового обслуговування
08.02	82	08.02 Для розміщення та обслуговування музейних закладів
08.03	76	08.03 Для іншого історико-культурного призначення
03.09	76	03.09 Для будівництва та обслуговування будівель кредитно-фінансових установ
12.06	63	12.06 для розміщення та експлуатації об'єктів трубопровідного транспорту
12.09	63	12.09 Для розміщення та експлуатації будівель і споруд іншого наземного транспорту
07.06	63	07.06 Для збереження, використання та відтворення зелених зон і зелених насаджень
10.10	61	10.10-Для будівництва та експлуатації гідротехнічних, гідрометричних та лінійних споруд
11.05	59	11.05 Для цілей підрозділів 11.01-11.04, 11.06-11.08 та для збереження та використання земель природно-заповідного фонду
16.00	51	16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)
11.01	45	11.01 
13.02	41	13.02 Для розміщення та експлуатації будівель та споруд об'єктів поштового зв'язку
13.03	41	13.03 Для розміщення та експлуатації інших технічних засобів зв'язку
03.17	41	03.17 Для розміщення та експлуатації закладів з обслуговування відвідувачів об’єктів рекреаційного призначення
04.10	40	04.10 Для збереження та використання пам'яток природи
03.06	37	03.06 Для будівництва та обслуговування будівель екстериторіальних організацій та органів
01.09	36	01.09 Для дослідних і навчальних цілей
07.05	34	07.05 Для цілей підрозділів 07.01 - 07.04 та для збереження та використання земель природно-заповідного фонду
06.01	33	06.01 Для будівництва і обслуговування санаторно-оздоровчих закладів
03.16	32	03.16 Для цілей підрозділів 03.01-03.15, 03.17-03.20 та для збереження та використання земель природно-заповідного фонду
10.07	29	10.07 Для рибогосподарських потреб
32214	25	3221455300010070688
01.10	24	01.10 Для пропаганди передового досвіду ведення сільського господарства
07.09	23	07.09 Земельні ділянки загального користування відведені під місця поховання
02,01	23	02,01
12.03	21	12.03 Для розміщення та експлуатації будівель і споруд річкового транспорту
01.07	19	01.07 Для городництва
06.03	16	06.03 Для інших оздоровчих цілей
01.12	15	01.12 Для розміщення інфраструктури оптових ринків сільськогосподарської продукції
12.10	14	12.10 Для цілей підрозділів 12.01-12.09, 12.11-12.13 та для збереження та використання земель природно-заповідного фонду
01.11	12	01.11.2
11.00	12	11.00
09.02	11	09.02 Для іншого лісогосподарського призначення
01,03	11	01,03
08.04	9	08.04 Для цілей підрозділів 08.01-08.03, 08.05 та для збереження та використання земель природно-заповідного фонду
13.05	7	13.05 Для розміщення та постійної діяльності Державної служби спеціального зв’язку та захисту інформації України
01,05	6	01,05
01,06	6	01,06
17.01	6	приватизовано по рішенню процівської сільської ради від 17.01.2005 р. № 215
10.15	5	10.15 Земельні ділянки під пляжами
04.05	4	04.05 Для збереження та використання зоологічних парків
04.11	4	04.11 Для збереження та використання регіональних ландшафтних парків
01.18	4	01.18 Земельні ділянки загального користування, які використовуються як польові дороги, прогони
06,01	3	06,01
13.04	3	13.04 Для цілей підрозділів 13.01-13.03, 13.05 та для збереження і використання земель природно-заповідного фонду
12,04	3	12,04
01.30	2	01.30
09.06	2	09.06
04.06	2	04.06 Для збереження та використання дендрологічних парків
03.00	2	03.00
11.06	2	11.06 Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
03,10	2	03,10
02/01	2	02/01
23/14	1	відводиться у власність згідно рішення бучанської міської ради № 1523/14-56-v від 24 вересня 2009 року
01,04	1	01,04
12,08	1	12,08
02.13	1	02.13
05.01	1	05.01
19.00	1	19.00 Для цілей підрозділів 16.00 - 18.00 та для збереження та використання земель природно-заповідного фонду
07,03	1	07,03
10.03	1	Для експлуатації та догляду за смугами відведення
03,07	1	03,07
20,02	1	приватизовано по рішенню,20,02,2009
